Id,score
0,4
1,4
2,2
3,4
4,3
5,3
6,3
7,2
8,4
9,1
10,5
11,3
12,3
13,2
14,5
15,2
16,3
17,3
18,3
19,4
20,3
21,3
22,3
23,4
24,4
25,3
26,3
27,4
28,3
29,3
30,4
31,5
32,5
33,2
34,4
35,4
36,2
37,2
38,4
39,4
40,4
41,5
42,3
43,3
44,4
45,4
46,5
47,4
48,4
49,4
50,2
51,2
52,4
53,4
54,3
55,3
56,3
57,3
58,3
59,5
60,5
61,3
62,5
63,2
64,4
65,4
66,3
67,1
68,4
69,4
70,4
71,3
72,4
73,3
74,3
75,4
76,4
77,3
78,3
79,4
80,2
81,3
82,4
83,3
84,4
85,2
86,2
87,2
88,3
89,5
90,4
91,4
92,4
93,4
94,4
95,3
96,4
97,4
98,3
99,4
100,4
101,3
102,3
103,4
104,4
105,5
106,2
107,4
108,5
109,4
110,4
111,5
112,2
113,4
114,4
115,3
116,3
117,4
118,3
119,4
120,4
121,2
122,4
123,3
124,4
125,4
126,4
127,4
128,4
129,4
130,3
131,4
132,3
133,5
134,3
135,4
136,5
137,5
138,3
139,5
140,4
141,4
142,3
143,3
144,4
145,5
146,2
147,4
148,4
149,3
150,4
151,2
152,3
153,4
154,4
155,3
156,4
157,3
158,3
159,3
160,4
161,1
162,4
163,4
164,3
165,3
166,4
167,4
168,4
169,4
170,3
171,4
172,5
173,3
174,4
175,4
176,4
177,4
178,3
179,4
180,3
181,4
182,4
183,3
184,6
185,4
186,4
187,5
188,4
189,3
190,2
191,4
192,4
193,3
194,3
195,3
196,5
197,3
198,4
199,5
200,4
201,4
202,5
203,4
204,3
205,4
206,5
207,4
208,4
209,3
210,2
211,3
212,2
213,4
214,3
215,3
216,3
217,4
218,1
219,4
220,4
221,4
222,3
223,4
224,3
225,3
226,3
227,4
228,5
229,4
230,3
231,4
232,4
233,3
234,3
235,4
236,4
237,4
238,4
239,4
240,3
241,3
242,3
243,4
244,4
245,4
246,3
247,4
248,3
249,2
250,4
251,4
252,4
253,2
254,3
255,3
256,3
257,4
258,4
259,3
260,4
261,4
262,4
263,3
264,4
265,4
266,3
267,3
268,4
269,3
270,3
271,3
272,3
273,5
274,4
275,4
276,2
277,3
278,3
279,3
280,4
281,4
282,4
283,1
284,4
285,4
286,4
287,2
288,4
289,5
290,4
291,4
292,2
293,5
294,3
295,4
296,5
297,3
298,4
299,4
300,3
301,4
302,4
303,3
304,3
305,3
306,5
307,3
308,5
309,4
310,4
311,4
312,4
313,4
314,2
315,4
316,5
317,4
318,2
319,4
320,5
321,4
322,3
323,2
324,2
325,3
326,2
327,3
328,5
329,2
330,5
331,4
332,4
333,4
334,3
335,4
336,3
337,2
338,2
339,2
340,3
341,4
342,4
343,4
344,2
345,4
346,4
347,3
348,3
349,5
350,4
351,5
352,3
353,3
354,4
355,4
356,4
357,4
358,4
359,4
360,2
361,3
362,4
363,4
364,5
365,4
366,3
367,3
368,4
369,4
370,3
371,5
372,5
373,5
374,3
375,3
376,4
377,4
378,5
379,2
380,5
381,4
382,5
383,3
384,3
385,5
386,3
387,3
388,4
389,5
390,5
391,5
392,1
393,3
394,4
395,3
396,4
397,3
398,2
399,3
400,4
401,4
402,4
403,3
404,2
405,4
406,3
407,4
408,3
409,4
410,5
411,3
412,4
413,4
414,3
415,4
416,3
417,3
418,4
419,3
420,4
421,4
422,4
423,3
424,3
425,4
426,4
427,2
428,5
429,3
430,3
431,2
432,1
433,5
434,3
435,3
436,1
437,4
438,4
439,4
440,3
441,4
442,3
443,5
444,4
445,3
446,3
447,2
448,4
449,4
450,2
451,5
452,2
453,4
454,4
455,2
456,4
457,2
458,4
459,2
460,4
461,4
462,4
463,4
464,4
465,3
466,5
467,4
468,3
469,4
470,4
471,4
472,3
473,4
474,3
475,3
476,4
477,3
478,5
479,3
480,4
481,4
482,4
483,2
484,3
485,3
486,5
487,3
488,3
489,3
490,4
491,3
492,3
493,4
494,4
